Disease ID,Disorder name,Gene symbols,OMIM ID,Chromosome,Class,Prevalence
49,"Adenosine deaminase deficiency, partial, 102700 (3)",ADA,608958,20q13.11,Immunological,1.76394E-06
50,"Adenylosuccinase deficiency, 103050 (3)",ADSL,608222,22q13.1,Metabolic,1.76394E-06
398,"Cystathioninuria, 219500 (3)",CTH,607657,1p31.1,Metabolic,1.76394E-06
433,Dihydropyrimidinuria (3),"DPYS, DHP",222748,8q22,Metabolic,1.76394E-06
697,"Homocysteine, total plasma, elevated (3)",CTH,607657,1p31.1,Metabolic,1.76394E-06
698,"Homocystinuria due to MTHFR deficiency, 236250 (3)",MTHFR,607093,1p36.3,Metabolic,1.76394E-06
739,Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase (3),"AHCY, SAHH",180960,20cen-q13.1,Metabolic,1.76394E-06
884,"Lesch-Nyhan syndrome, 300322, (3)","HPRT1, HPRT",308000,Xq26-q27.2,Metabolic,1.76394E-06
1607,"Xanthinuria, type I, 278300 (3)",XDH,607633,2p23-p22,Metabolic,1.76394E-06
76,Aldolase A deficiency (3),ALDOA,103850,16q22-q24,Metabolic,1.53386E-06
352,"Cone dystrophy-1, 304020 (3)","RPGR, RP3, CRD, RP15, COD1",312610,Xp21.1,Ophthamological,1.38047E-06
1439,"Stargardt disease 3, 600110 (3)","ELOVL4, ADMD, STGD2, STGD3",605512,6q14,Ophthamological,1.38047E-06
682,"Histidinemia, 235800 (3)","HAL, HSTD",609457,12q22-q23,Metabolic,1.30378E-06
86,"Alpers syndrome, 203700 (3)","POLG, POLG1, POLGA, PEO",174763,15q25,Neurological,1.22709E-06
562,"Fundus albipunctatus, 136880 (3)",RDH5,601617,12q13-q14,Ophthamological,1.22709E-06
562,"Fundus albipunctatus, 136880 (3)",RLBP1,180090,15q26,Ophthamological,1.22709E-06
877,"Leigh syndrome due to cytochrome c oxidase deficiency, 256000 (3)",COX15,603646,10q24,Neurological,1.22709E-06
1307,"Refsum disease, 266500 (3)","PEX7, RCDP1",601757,6q22-q24,Neurological,1.22709E-06
1307,"Refsum disease, 266500 (3)","PHYH, PAHX",602026,10pter-p11.2,Neurological,1.22709E-06
1213,"Peters anomaly, 603807 (3)","PAX6, AN2, MGDA",607108,11p13,Developmental,9.20315E-07
496,"Epiphyseal dysplasia, multiple 1, 132400 (3)","COMP, EDM1, MED, PSACH",600310,19p13.1,Bone,6.90236E-07
1136,"Odontohypophosphatasia, 146300 (3)","ALPL, HOPS, TNSALP",171760,1p36.1-p34,Bone,5.3685E-07
96,"Alternating hemiplegia of childhood, 104290 (3)","ATP1A2, FHM2, MHP2",182340,1q21-q23,Neurological,4.60157E-07
1257,"Preeclampsia, susceptibility to (3)","AGT, SERPINA8",106150,1q42-q43,Cardiovascular,3.06772E-07
5233,Placental steroid sulfatase deficiency (3),"STS, ARSC1, ARSC, SSDD",308100,Xp22.32,Metabolic,7.66929E-08
